Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
TechplexEngineer_OmniNode,omninode28,Connect,Connect,5,1,2,22,0,omninode28.Connect,omninode28.Connect
TechplexEngineer_OmniNode,omninode28,Connect,addCt,4,1,0,36,0,,
TechplexEngineer_OmniNode,omninode28,Connect,getP1,3,1,0,46,0,,
TechplexEngineer_OmniNode,omninode28,Connect,getP2,3,1,0,54,0,,
TechplexEngineer_OmniNode,omninode28,Connect,isVisible,6,2,0,62,0,,
TechplexEngineer_OmniNode,omninode28,Connect,getN1,3,1,0,75,0,,
TechplexEngineer_OmniNode,omninode28,Connect,getN2,3,1,0,84,0,,
TechplexEngineer_OmniNode,omninode28,Connect,getC,9,3,1,93,0,omninode28.Connect,omninode28.Connect
TechplexEngineer_OmniNode,omninode28,Connect,equalsConnectBetween,13,5,2,111,0,,
TechplexEngineer_OmniNode,omninode28,Driver,main,13,1,1,18,0,,
TechplexEngineer_OmniNode,omninode28,EditPanel,EditPanel,8,1,3,25,0,,
TechplexEngineer_OmniNode,omninode28,EditPanel,save,41,7,3,43,0,,
TechplexEngineer_OmniNode,omninode28,EditPanel,createMenuBar,37,1,0,91,0,,
TechplexEngineer_OmniNode,omninode28,EditPanel,createPopupMenu,19,1,2,153,0,,
TechplexEngineer_OmniNode,omninode28,EndUserPanel,EndUserPanel,27,3,3,29,0,,
TechplexEngineer_OmniNode,omninode28,EndUserPanel,point2node,8,3,1,210,0,,
TechplexEngineer_OmniNode,omninode28,EndUserPanel,name2node,8,3,1,225,0,,
TechplexEngineer_OmniNode,omninode28,IO,write,39,7,3,24,0,omninode28.IO,omninode28.IO
TechplexEngineer_OmniNode,omninode28,IO,load,48,7,3,82,0,omninode28.IO,omninode28.IO
TechplexEngineer_OmniNode,omninode28,IO,point2node,8,3,2,149,0,,
TechplexEngineer_OmniNode,omninode28,IO,name2node,8,3,2,161,0,,
TechplexEngineer_OmniNode,omninode28,IO,errMsg,3,1,1,176,0,,
TechplexEngineer_OmniNode,omninode28,IO,errMsg,3,1,2,180,0,,
TechplexEngineer_OmniNode,omninode28,IO,d,3,2,2,184,0,,
TechplexEngineer_OmniNode,omninode28,Node,Node,7,1,2,35,0,,
TechplexEngineer_OmniNode,omninode28,Node,Node,10,4,3,52,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,getPoint,3,1,0,81,0,,
TechplexEngineer_OmniNode,omninode28,Node,getX,3,1,0,90,0,,
TechplexEngineer_OmniNode,omninode28,Node,getY,3,1,0,94,0,,
TechplexEngineer_OmniNode,omninode28,Node,getW,3,1,0,98,0,,
TechplexEngineer_OmniNode,omninode28,Node,getH,3,1,0,102,0,,
TechplexEngineer_OmniNode,omninode28,Node,setW,3,1,1,107,0,,
TechplexEngineer_OmniNode,omninode28,Node,setH,3,1,1,111,0,,
TechplexEngineer_OmniNode,omninode28,Node,getCenter,3,1,0,119,0,,
TechplexEngineer_OmniNode,omninode28,Node,getOrderedPair,3,1,1,127,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,getName,3,1,0,135,0,,
TechplexEngineer_OmniNode,omninode28,Node,getBoxSize,3,1,0,143,0,,
TechplexEngineer_OmniNode,omninode28,Node,moveTo,4,1,1,153,0,,
TechplexEngineer_OmniNode,omninode28,Node,setName,3,1,1,163,0,,
TechplexEngineer_OmniNode,omninode28,Node,isPointInNode,4,2,1,172,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,addConnect,5,1,1,184,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,isSelected,3,1,0,207,0,,
TechplexEngineer_OmniNode,omninode28,Node,setSelected,3,1,1,211,0,,
TechplexEngineer_OmniNode,omninode28,Node,toggleSelected,3,1,0,215,0,,
TechplexEngineer_OmniNode,omninode28,Node,getState,3,1,0,226,0,,
TechplexEngineer_OmniNode,omninode28,Node,isDrawn,5,3,0,235,0,,
TechplexEngineer_OmniNode,omninode28,Node,isVisible,4,2,0,247,0,,
TechplexEngineer_OmniNode,omninode28,Node,isGuessed,4,2,0,257,0,,
TechplexEngineer_OmniNode,omninode28,Node,isHidden,4,2,0,268,0,,
TechplexEngineer_OmniNode,omninode28,Node,setStateopmit,4,2,1,277,0,,
TechplexEngineer_OmniNode,omninode28,Node,setVisible,4,1,0,288,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,setGuessed,5,1,0,296,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,setHidden,4,1,0,306,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,updateConnections,11,4,0,314,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,equals,4,2,1,341,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,equals,4,2,2,354,0,omninode28.Node,omninode28.Node
TechplexEngineer_OmniNode,omninode28,Node,removeConnections,8,4,0,378,0,,
TechplexEngineer_OmniNode,omninode28,NodeEditFrame,NodeEditFrame,15,1,2,57,0,omninode28.NodeEditFrame,omninode28.NodeEditFrame
TechplexEngineer_OmniNode,omninode28,NodeEditFrame,windowClosing,4,1,1,78,0,,
TechplexEngineer_OmniNode,omninode28,NodeEditFrame,hinput,84,3,0,93,0,,
TechplexEngineer_OmniNode,omninode28,NodeEditFrame,actionPerformed,41,7,1,304,0,,
TechplexEngineer_OmniNode,omninode28,NodePanel,NodePanel,8,1,3,43,0,,
TechplexEngineer_OmniNode,omninode28,NodePanel,paintComponent,53,12,1,66,0,,
TechplexEngineer_OmniNode,omninode28,OmniPanel,OmniPanel,4,1,2,28,0,,
TechplexEngineer_OmniNode,omninode28,OmniPanel,name2node,8,3,2,37,0,,
TechplexEngineer_OmniNode,omninode28,OmniPanel,load,50,7,3,52,0,,
TechplexEngineer_OmniNode,omninode28,SettingsFrame,SettingsFrame,15,1,2,42,0,omninode28.SettingsFrame,omninode28.SettingsFrame
TechplexEngineer_OmniNode,omninode28,SettingsFrame,windowClosing,4,1,1,62,0,,
TechplexEngineer_OmniNode,omninode28,SettingsFrame,input,84,3,0,77,0,,
TechplexEngineer_OmniNode,omninode28,SettingsFrame,actionPerformed,41,7,1,254,0,,
