Project Name,Package Name,Architecture Smell,Cause of the Smell
wiki-w_google,com.google.android.apps.iosched.appwidget,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.android.apps.iosched.ui
wiki-w_google,com.google.android.apps.iosched.appwidget,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.appwidget; com.google.android.apps.iosched.util; com.google.android.apps.iosched.appwidget
wiki-w_google,com.google.android.apps.iosched.appwidget,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.appwidget; com.google.android.apps.iosched.provider; com.google.android.apps.iosched.appwidget
wiki-w_google,com.google.android.apps.iosched.gcm.command,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnouncementCommand]; [SyncCommand]; [SyncCommand.SyncData]; [SyncUserCommand]; [SyncUserCommand.SyncData]; [TestCommand]. LCC (Lack of Component Cohesion) = 1.0
wiki-w_google,com.google.android.apps.iosched.gcm,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.gcm; com.google.android.apps.iosched.util; com.google.android.apps.iosched.gcm
wiki-w_google,com.google.android.apps.iosched.io,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AnnouncementsFetcher]; [BlocksHandler; JSONHandler; MapPropertyHandler; RoomsHandler; SearchSuggestHandler; TracksHandler]; [FeedbackHandler]; [HandlerException]; [SessionsHandler]; [SpeakersHandler]. LCC (Lack of Component Cohesion) = 0.55
wiki-w_google,com.google.android.apps.iosched.io.model,Ambiguous Interface,The tool detected the smell in this component because the component provides only a single, general entry-point via the following class: Tracks
wiki-w_google,com.google.android.apps.iosched.io.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Day; EventSlots; TimeSlot]; [Room; Rooms]; [SearchSuggestions]; [Track; Tracks]. LCC (Lack of Component Cohesion) = 0.5
wiki-w_google,com.google.android.apps.iosched.provider,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
wiki-w_google,com.google.android.apps.iosched.provider,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.android.apps.iosched.util; com.google.android.apps.iosched.sync; com.google.android.apps.iosched.appwidget
wiki-w_google,com.google.android.apps.iosched.provider,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ScheduleContract; ScheduleDatabase; ScheduleProvider; ScheduleContract.Sessions]; [ScheduleContract.SyncColumns]; [ScheduleContract.BlocksColumns]; [ScheduleContract.TracksColumns]; [ScheduleContract.RoomsColumns]; [ScheduleContract.SessionsColumns]; [ScheduleContract.SpeakersColumns]; [ScheduleContract.SandboxColumns]; [ScheduleContract.AnnouncementsColumns]; [ScheduleContract.MapMarkerColumns]; [ScheduleContract.FeedbackColumns]; [ScheduleContract.MapTileColumns]; [ScheduleContract.Blocks]; [ScheduleContract.Tracks]; [ScheduleContract.Rooms]; [ScheduleContract.Feedback]; [ScheduleContract.Speakers]; [ScheduleContract.Sandbox]; [ScheduleContract.Announcements]; [ScheduleContract.MapTiles]; [ScheduleContract.MapMarkers]; [ScheduleContract.SearchSuggest]; [ScheduleContract.SearchIndex]; [ScheduleDatabase.Tables]; [ScheduleDatabase.Triggers]; [ScheduleDatabase.SessionsSpeakers]; [ScheduleDatabase.SessionsTracks]; [ScheduleDatabase.SessionsSearchColumns]; [ScheduleDatabase.Qualified]; [ScheduleDatabase.References]; [ScheduleProvider.Subquery]; [ScheduleProvider.Qualified]. LCC (Lack of Component Cohesion) = 0.91
wiki-w_google,com.google.android.apps.iosched.provider,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.provider; com.google.android.apps.iosched.sync; com.google.android.apps.iosched.provider
wiki-w_google,com.google.android.apps.iosched.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.android.apps.iosched.ui
wiki-w_google,com.google.android.apps.iosched.service,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DashClockExtension]; [DashClockExtension.BlocksQuery]; [ScheduleUpdaterService]; [ScheduleUpdaterService.ServiceHandler]; [SessionAlarmService]; [SessionAlarmService.SessionDetailQuery]; [SessionAlarmService.SessionTrackQuery]. LCC (Lack of Component Cohesion) = 1.0
wiki-w_google,com.google.android.apps.iosched.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.service; com.google.android.apps.iosched.util; com.google.android.apps.iosched.service
wiki-w_google,com.google.android.apps.iosched.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.service; com.google.android.apps.iosched.ui; com.google.android.apps.iosched.service
wiki-w_google,com.google.android.apps.iosched.ui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 87
wiki-w_google,com.google.android.apps.iosched.ui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.android.apps.iosched.ui.tablet
wiki-w_google,com.google.android.apps.iosched.ui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountActivity]; [AccountActivity.SignInMainFragment]; [AccountActivity.SignInSetupFragment]; [AccountActivity.ChooseAccountFragment]; [AccountActivity.AccountListAdapter]; [AccountActivity.ViewHolder]; [AccountActivity.AuthProgressFragment]; [AnnouncementsActivity; AnnouncementsFragment; PlusStreamRowViewBinder; SimpleSinglePaneActivity; SocialStreamActivity; SocialStreamFragment; BaseActivity; ExploreFragment; HomeActivity; SandboxDetailFragment; SandboxFragment; SearchActivity; SessionDetailFragment; SessionFeedbackFragment; SessionLivestreamActivity; SessionsFragment; TracksAdapter; CheckableLinearLayout; MultiSelectionUtil; SessionFeedbackActivity; TrackInfo; TrackInfoHelperFragment]; [AnnouncementsFragment.StreamAdapter]; [AnnouncementsFragment.AnnouncementsQuery]; [HomeActivity.HomePagerAdapter]; [MapFragment; MapInfoWindowAdapter; SVGTileProvider]; [MapFragment.Callbacks]; [MapFragment.MarkerQuery]; [MapFragment.OverlayQuery]; [MapFragment.SessionAfterQuery]; [MapFragment.SandboxCompaniesAtQuery]; [MapFragment.TracksQuery]; [MapFragment.MyLocationManager]; [MapFragment.MarkerModel]; [MapFragment.TrackModel]; [MultiSelectionUtil.Controller]; [MultiSelectionUtil.MultiChoiceModeListener]; [NfcBadgeActivity]; [PlusStreamRowViewBinder.ViewHolder]; [SandboxDetailFragment.Callbacks]; [SandboxDetailFragment.SandboxQuery]; [SandboxFragment.Callbacks]; [SandboxFragment.SandboxAdapter]; [SandboxFragment.SandboxQuery]; [ScheduleFragment; SimpleSectionedListAdapter]; [ScheduleFragment.MyScheduleAdapter]; [ScheduleFragment.BlocksQuery]; [SessionDetailFragment.SessionsQuery]; [SessionDetailFragment.SpeakersQuery]; [SessionFeedbackFragment.RatingBarHelper]; [SessionFeedbackFragment.SessionsQuery]; [SessionLivestreamActivity.LivestreamAdapter]; [SessionLivestreamActivity.TabsAdapter]; [SessionLivestreamActivity.DummyTabFactory]; [SessionLivestreamActivity.SessionSummaryFragment]; [SessionLivestreamActivity.SessionLiveCaptionsFragment]; [SessionLivestreamActivity.YouTubePresentation]; [SessionLivestreamActivity.SessionShareData]; [SessionLivestreamActivity.SessionSummaryQuery]; [SessionLivestreamActivity.SessionsQuery]; [SessionsFragment.Callbacks]; [SessionsFragment.SessionsAdapter]; [SessionsFragment.SearchAdapter]; [SessionsFragment.SessionsQuery]; [SessionsFragment.SearchQuery]; [SettingsActivity]; [SimpleSectionedListAdapter.Section]; [SocialStreamFragment.StreamLoader]; [SocialStreamFragment.StreamAdapter]; [SVGTileProvider.TileGeneratorPool]; [SVGTileProvider.TileGenerator]; [TaskStackBuilderProxyActivity]; [TrackInfoHelperFragment.Callbacks]; [TrackInfoHelperFragment.TracksQuery]; [TracksAdapter.TracksQuery]; [WhatsOnFragment]; [WhatsOnFragment.AnnouncementsQuery]. LCC (Lack of Component Cohesion) = 0.72
wiki-w_google,com.google.android.apps.iosched.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.google.android.apps.iosched.ui; com.google.android.apps.iosched.ui.tablet; com.google.android.apps.iosched.ui
wiki-w_google,com.google.android.apps.iosched.ui.phone,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [MapActivity]; [SandboxDetailActivity]; [SessionDetailActivity]; [SessionsActivity]; [TrackDetailActivity]; [TrackDetailActivity.TrackDetailPagerAdapter]. LCC (Lack of Component Cohesion) = 1.0
wiki-w_google,com.google.android.apps.iosched.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.google.android.apps.iosched.ui; com.google.android.apps.iosched.gcm; com.google.android.apps.iosched.service; com.google.android.apps.iosched.appwidget
wiki-w_google,com.google.android.apps.iosched.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccountUtils]; [AccountUtils.AuthenticateCallback]; [AccountUtils.GetTokenTask]; [BeamUtils; UIUtils; BitmapCache; ImageLoader; NetUtils; UIUtils.TrackIconAsyncTask; ParserUtils; PrefUtils; SessionsHelper; TimeUtils]; [BitmapCache.RetainFragment]; [FractionalTouchDelegate]; [HelpUtils]; [HelpUtils.AboutDialog]; [HelpUtils.OpenSourceLicensesDialog]; [HelpUtils.EulaDialog]; [ImageLoader.ImageLoaderProvider]; [Lists]; [LogUtils; MapUtils]; [Maps]; [PlayServicesUtils]; [ReflectionUtils]; [SelectionBuilder]; [UIUtils.TrackIconViewAsyncTask]; [WiFiUtils; WiFiUtils.WiFiDialog]. LCC (Lack of Component Cohesion) = 0.63
